ipc_section,bns_section,notes
325,117(2),Punishment for voluntarily causing grievous hurt
326,118,Voluntarily causing grievous hurt by dangerous weapons or means
326A,124(1),"Voluntarily causing grievous hurt by use of acid, etc."
326B,124(2),Voluntarily throwing or attempting to throw acid
327,119,"Voluntarily causing hurt to extort property, or to constrain to an illegal act"
328,123,"Causing hurt by means of poison, etc., with intent to commit an offence"
329,119,"Voluntarily causing grievous hurt to extort property, or to constrain to an illegal act"
330,120,"Voluntarily causing hurt to extort confession, or to compel restoration of property"
331,120,"Voluntarily causing grievous hurt to extort confession, or to compel restoration of property"
332,121,Voluntarily causing hurt to deter public servant from his duty
333,121,Voluntarily causing grievous hurt to deter public servant from his duty
334,122,Voluntarily causing hurt on provocation
335,122,Voluntarily causing grievous hurt on provocation
336,125,Act endangering life or personal safety of others
337,125,Causing hurt by act endangering life or personal safety of others
338,125,Causing grievous hurt by act endangering life or personal safety of others
339,126,Wrongful restraint
340,127,Wrongful confinement
341,127,Punishment for wrongful restraint
342,127,Punishment for wrongful confinement
343,127,Wrongful confinement for three or more days
344,127,Wrongful confinement for ten or more days
345,127,Wrongful confinement of person for whose liberation writ has been issued
346,127,Wrongful confinement in secret
347,127,"Wrongful confinement to extort property, or constrain to illegal act"
348,127,"Wrongful confinement to extort confession, or compel restoration of property"
349,128,Force
350,129,Criminal force
351,130,Assault
352,131,Punishment for assault or criminal force otherwise than on grave provocation
353,132,Assault or criminal force to deter public servant from discharge of his duty
354,74,Assault or criminal force to woman with intent to outrage her modesty
354A,75,Sexual harassment and punishment for sexual harassment
354B,76,Assault or use of criminal force to woman with intent to disrobe
354C,77,Voyeurism
354D,78,Stalking
355,133,"Assault or criminal force with intent to dishonour person, otherwise than on grave provocation"
356,134,Assault or criminal force in attempt to commit theft of property carried by a person
357,135,Assault or criminal force in attempt wrongfully to confine a person
358,136,Assault or criminal force on grave provocation
359,137,Kidnapping
360,137,Kidnapping from India
361,137,Kidnapping from lawful guardianship
362,138,Abduction
363,137(2),Punishment for kidnapping
363A,139,Kidnapping or maiming a minor for purposes of begging
364,140,Kidnapping or abducting in order to murder
364A,140,"Kidnapping for ransom, etc."
365,140(3),Kidnapping or abducting with intent secretly and wrongfully to confine person
366,87,"Kidnapping, abducting or inducing woman to compel her marriage, etc."
366A,96,Procurement of minor girl
366B,141,Importation of girl from foreign country
367,140,"Kidnapping or abducting in order to subject person to grievous hurt, slavery, etc."
368,140(2),"Wrongfully concealing or keeping in confinement, kidnapped or abducted person"
369,97,Kidnapping or abducting child under ten years with intent to steal from its person
370,143,Trafficking of person
370A,144,Exploitation of a trafficked person
371,145,Habitual dealing in slaves
372,98,"Selling minor for purposes of prostitution, etc."
373,99,"Buying minor for purposes of prostitution, etc."
374,146,Unlawful compulsory labour
375,63,Rape
376,64,Punishment for rape
376A,66,Punishment for causing death or resulting in persistent vegetative state of victim
376AB,65(2),Punishment for rape on woman under twelve years of age
376B,67,Sexual intercourse by husband upon his wife during separation
376C,68,Sexual intercourse by a person in authority
376D,70,Gang rape
376DA,70,Punishment for gang rape on woman under sixteen years of age
376DB,70,Punishment for gang rape on woman under twelve years of age2
376E,71,Punishment for repeat offenders
377,Repealed in BNS,Unnatural offences
378,303(1),Theft
379,303,Punishment for theft
379A,304,Snatching
379B,304,Punishment for Snatching
380,305,"Theft in dwelling house, etc."
381,306,Theft by clerk or servant of property in possession of master
382,307,"Theft after preparation made for causing death, hurt or restraint in order to the committing of the theft"
383,308,Extortion
384,308(2),Punishment for extortion
385,308(3),Putting person in fear of injury in order to commit extortion
386,308(4),Extortion by putting a person in fear of death or grievous hurt
387,308(5),"Putting person in fear of death or of grievous hurt, in order to commit extortion"
388,308(6),"Extortion by threat of accusation of an offence punishable with death or imprisonment for life, etc."
389,308(7),"Putting person in fear of accusation of offence, in order to commit extortion"
390,309,Robbery
391,310,Dacoity
392,309,Punishment for robbery
393,309,Attempt to commit robbery
394,309,Voluntarily causing hurt in committing robbery
395,310,Punishment for dacoity
396,310(3),Dacoity with murder
397,311,"Robbery, or dacoity, with attempt to cause death or grievous hurt"
398,312,Attempt to commit robbery or dacoity when armed with deadly weapon
399,310(4),Making preparation to commit dacoity
400,313,Punishment for belonging to gang of dacoits
401,313,Punishment for belonging to gang of thieves
402,310(5),Assembling for purpose of committing dacoity
403,316,Dishonest misappropriation of property
404,315,Dishonest misappropriation of property possessed by deceased person at the time of his death
405,316,Criminal breach of trust
406,316(2),Punishment for criminal breach of trust
407,316(3),"Criminal breach of trust by carrier, etc."
408,316(4),Criminal breach of trust by clerk or servant
409,316(5),"Criminal breach of trust by public servant, or by banker, merchant or agent"
410,317(1),Stolen property
