file,status,page_count,text_extractable,first_chars
G_T_Venkataswamy_Reddy_vs_State_Transport_Authority_Ors_on_19_July_2016_1.PDF,ok,20,True,"G.T. Venkataswamy Reddy vs State Transport Authority & Ors
on 19 July, 2016
Equivalent citations: AI"
Gajanan_Dashrath_Kharate_vs_State_Of_Maharashtra_on_26_February_2016_1.PDF,ok,5,True,"Gajanan Dashrath Kharate vs State Of Maharashtra on 26
February, 2016
Equivalent citations: AIR 2016"
Ghanshyam_Sarda_vs_Sashikant_Jha_Director_M_S_Jk_Jute_on_18_November_2016_1.PDF,ok,18,True,"Ghanshyam Sarda vs Sashikant Jha, Director M/S Jk Jute ... on
18 November, 2016
Author: Uday Umesh L"
Girish_Raghunath_Mehta_vs_Inspector_Of_Customs_Anr_on_7_September_2016_1.PDF,ok,5,True,"Girish Raghunath Mehta vs Inspector Of Customs & Anr on 7
September, 2016
Equivalent citations: AIR "
Goa_Foundation_Anr_vs_State_Of_Goa_Anr_on_29_March_2016_1.PDF,ok,13,True,"Goa Foundation & Anr vs State Of Goa & Anr on 29 March, 2016
Equivalent citations: AIR 2016 SUPREME "
Golla_Rajanna_Etc_Etc_vs_The_Divisional_Manager_And_Anr_Etc_Etc_on_23_November_2016_1.PDF,ok,4,True,"Golla Rajanna Etc. Etc vs The Divisional Manager And Anr Etc
Etc on 23 November, 2016
Equivalent cit"
Greaves_Cotton_Limited_vs_United_Machinery_And_Appliances_on_14_December_2016_1.PDF,ok,5,True,"Greaves Cotton Limited vs United Machinery And Appliances on
14 December, 2016
Equivalent citations:"
Gujarat_Maritime_Board_vs_L_T__Infrastructure_Development_on_28_September_2016.PDF,ok,9,True,"Gujarat Maritime Board vs L&T; Infrastructure Development ...
on 28 September, 2016
Equivalent citat"
Gujarat_Urja_Vikas_Nigam_Limited_vs_Tarini_Infrastructure_Ltd_Ors_on_5_July_2016_1.PDF,ok,15,True,"Gujarat Urja Vikas Nigam Limited vs Tarini Infrastructure Ltd.&
Ors on 5 July, 2016
Equivalent citat"
Gujarat_Urja_Vikas_Nigam_Ltd_vs_Emco_Ltd_Ors_on_2_February_2016_1.PDF,ok,14,True,"Gujarat Urja Vikas Nigam Ltd vs Emco Ltd. & Ors on 2 February,
2016
Equivalent citations: AIR 2016 S"
Gujarat_Urja_Vikas_Nigam_Ltd_vs_Essar_Power_Limited_on_9_August_2016_1.PDF,ok,27,True,"Gujarat Urja Vikas Nigam Ltd vs Essar Power Limited on 9
August, 2016
Equivalent citations: AIR 2016"
Gulshera_Khanam_vs_Aftab_Ahmad_on_27_September_2016_1.PDF,ok,9,True,"Gulshera Khanam vs Aftab Ahmad on 27 September, 2016
Equivalent citations: AIR 2016 SUPREME COURT 48"
Gulzari_Lal_vs_State_Of_Haryana_on_2_February_2016_1.PDF,ok,7,True,"Gulzari Lal vs State Of Haryana on 2 February, 2016
Equivalent citations: AIR 2016 SUPREME COURT 795"
Gurcharan_Singh_vs_State_Of_Punjab_on_2_December_2016_1.PDF,ok,9,True,"Gurcharan Singh vs State Of Punjab on 2 December, 2016
Equivalent citations: AIR 2017 SUPREME COURT "
Gurdial_Singh_And_Ors_vs_Union_Of_India_And_Anr_on_29_June_2016_1.PDF,ok,10,True,"Gurdial Singh And Ors vs Union Of India And Anr on 29 June,
2016
Author: Ashok Bhushan
Bench: Ashok "
Gurpal_Singh_vs_State_Of_Punjab_on_2_December_2016_1.PDF,ok,3,True,"Gurpal Singh vs State Of Punjab on 2 December, 2016
Equivalent citations: AIR 2017 SUPREME COURT 471"
H_D_Sikand_D_Th_Lrs_vs_C_B_I_Anr_on_15_December_2016_1.PDF,ok,11,True,"H.D. Sikand (D) Th:Lrs vs C.B.I.& Anr on 15 December, 2016
Equivalent citations: AIR 2017 SUPREME CO"
H_P_State_Electricity_Board_Ltd_vs_Mahesh_Dahiya_on_18_November_2016_1.PDF,ok,12,True,"H.P. State Electricity Board Ltd vs Mahesh Dahiya on 18
November, 2016
Equivalent citations: AIR 201"
Hamant_Yashwant_Dhage_vs_State_Of_Maharashtra_Ors_on_10_February_2016_1.PDF,ok,4,True,"Hamant Yashwant Dhage vs State Of Maharashtra & Ors on 10
February, 2016
Equivalent citations: AIR 2"
Harbeer_Singh_vs_Sheeshpal_Ors_on_20_October_2016_1.PDF,ok,7,True,"Harbeer Singh vs Sheeshpal & Ors on 20 October, 2016
Equivalent citations: AIR 2016 SC 4958, 2016 (1"
Hardei_vs_State_Of_U_P_on_30_March_2016_1.PDF,ok,3,True,"Hardei vs State Of U.P on 30 March, 2016
Equivalent citations: AIR 2016 SUPREME COURT 1615, 2016 (12"
Harijan_Bhala_Teja_vs_State_Of_Gujarat_on_27_April_2016_1.PDF,ok,6,True,"Harijan Bhala Teja vs State Of Gujarat on 27 April, 2016
Equivalent citations: AIR 2016 SC 2065, 201"
Harijan_Jivrajbhai_Badhabhai_vs_State_Of_Gujarat_on_11_May_2016_1.PDF,ok,7,True,"Harijan Jivrajbhai Badhabhai vs State Of Gujarat on 11 May,
2016
Equivalent citations: AIR 2016 SUPR"
Harijan_Paniben_Dudabhai_vs_State_Of_Gujarat_Ors_on_1_July_2016_1.PDF,ok,8,True,"Harijan Paniben Dudabhai vs State Of Gujarat & Ors on 1 July,
2016
Equivalent citations: AIR 2016 SU"
Harpal_Singh_Chhota_vs_State_Of_Punjab_on_21_November_2016_1.PDF,ok,17,True,"Harpal Singh @ Chhota vs State Of Punjab on 21 November,
2016
Equivalent citations: AIR 2016 SC 5389"
Haryana_State_Anr_vs_Gram_Panchayat_Village_Kalehri_on_29_June_2016_1.PDF,ok,4,True,"Haryana State & Anr vs Gram Panchayat Village Kalehri on 29
June, 2016
Author: Abhay Manohar Sapre
B"
Hdfc_Securities_Ltd_Ors_vs_State_Of_Maharashtra_Anr_on_9_December_2016_1.PDF,ok,10,True,"Hdfc Securities Ltd.& Ors vs State Of Maharashtra & Anr on 9
December, 2016
Equivalent citations: AI"
High_Court_Of_Punjab_Haryana_vs_Jagdev_Singh_on_29_July_2016_1.PDF,ok,4,True,"High Court Of Punjab & Haryana vs Jagdev Singh on 29 July,
2016
Equivalent citations: AIR 2016 SUPRE"
Hiral_P_Harsora_And_Ors_vs_Kusum_Narottamdas_Harsora_And_Ors_on_6_October_2016_1.PDF,ok,27,True,"Hiral P. Harsora And Ors vs Kusum Narottamdas Harsora And
Ors on 6 October, 2016
Equivalent citation"
Idbi_Trusteeship_Services_Ltd_vs_Hubtown_Ltd_on_15_November_2016_1.PDF,ok,24,True,"Idbi Trusteeship Services Ltd vs Hubtown Ltd on 15 November,
2016
Equivalent citations: 2017 (1) ABR"
Indian_Machinery_Company_vs_M_S_Ansal_Housing_Construction_Ltd_on_27_January_2016_1.PDF,ok,2,True,"Indian Machinery Company vs M/S. Ansal Housing &
Construction Ltd on 27 January, 2016
Equivalent cit"
Indira_Devi_vs_State_Of_Himachal_Pradesh_on_3_June_2016_1.PDF,ok,4,True,"Indira Devi vs State Of Himachal Pradesh on 3 June, 2016
Equivalent citations: AIR 2016 SC 2721, 201"
J_K_Lakshmi_Cement_Ltd_vs_Commercial_Tax_Officer_Pali_on_16_September_2016_1.PDF,ok,11,True,"J.K.Lakshmi Cement Ltd vs Commercial Tax Officer,Pali on 16
September, 2016
Equivalent citations: AI"
